Date,Close,High,Low,Open,Volume,Log_VIX,Delta_Log_VIX
1990-01-02,17.239999771118164,17.239999771118164,17.239999771118164,17.239999771118164,0,2.8472322519593383,
1990-01-03,18.190000534057617,18.190000534057617,18.190000534057617,18.190000534057617,0,2.9008720218899873,0.053639769930649006
1990-01-04,19.219999313354492,19.219999313354492,19.219999313354492,19.219999313354492,0,2.955951367816573,0.0550793459265857
1990-01-05,20.11000061035156,20.11000061035156,20.11000061035156,20.11000061035156,0,3.0012172341352095,0.045265866318636494
1990-01-08,20.260000228881836,20.260000228881836,20.260000228881836,20.260000228881836,0,3.008648510117765,0.007431275982555441
1990-01-09,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,0,3.1000923232448754,0.09144381312711047
1990-01-10,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,0,3.1108451044538543,0.010752781208978934
1990-01-11,20.049999237060547,20.049999237060547,20.049999237060547,20.049999237060547,0,2.9982291157007346,-0.11261598875311973
1990-01-12,24.63999938964844,24.63999938964844,24.63999938964844,24.63999938964844,0,3.2043711138945574,0.20614199819382284
1990-01-15,26.34000015258789,26.34000015258789,26.34000015258789,26.34000015258789,0,3.271088702108145,0.06671758821358775
1990-01-16,24.18000030517578,24.18000030517578,24.18000030517578,24.18000030517578,0,3.1855258578076464,-0.08556284430049876
1990-01-17,24.15999984741211,24.15999984741211,24.15999984741211,24.15999984741211,0,3.18469836675089,-0.0008274910567562799
1990-01-18,24.34000015258789,24.34000015258789,24.34000015258789,24.34000015258789,0,3.1921210938283986,0.007422727077508462
1990-01-19,22.5,22.5,22.5,22.5,0,3.1135153092103742,-0.07860578461802437
1990-01-22,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,0,3.284663593980715,0.17114828477034072
1990-01-23,24.719999313354492,24.719999313354492,24.719999313354492,24.719999313354492,0,3.2076126048125677,-0.07705098916814723
1990-01-24,25.38999938964844,25.38999938964844,25.38999938964844,25.38999938964844,0,3.2343553716775335,0.026742766864965795
