Date,IVV,IJH,IWM,EFA,EEM,AGG,SPTL,HYG,SPBO,IYR,DBC,GLD
2012-01-03,0.13934108625575845,0.0,0.059933184011301745,0.048641106054073534,0.16048858012395298,0.14746338732381736,0.19441986228760538,0.0,0.09194335428502398,0.0,0.047644629501557956,0.11012481015690856
2012-07-02,0.0,0.03966844633321771,0.12965304032623762,0.10871674355134812,0.04397827551716132,0.11755949678602755,0.16148273991527456,0.0,0.1607622984641802,0.1392799855940722,0.0678805513328763,0.031018422179604377
2013-01-02,0.14240413045259498,0.05007500931986415,0.0,0.0,0.12608133111361408,0.08981603263126554,0.12007608677382656,0.10856184852154119,0.07977439642755463,0.14476996629362704,0.056314378060567695,0.08212682040554409
2013-07-01,0.17954012947923748,0.1338901518295165,0.18653255174817482,0.12497865442784105,0.15251773248150585,0.0,0.049332837976532914,0.06264342931040802,0.0,0.05039193493864524,0.0,0.06017257780813812
2014-01-02,0.11591352042819948,0.06652511731484834,0.06750043906404966,0.038202441022894565,0.048681919951299925,0.1707937509979732,0.1181656457755542,0.11107164868653412,0.031206180004797537,0.1329522135574123,0.029795535299923244,0.06919158789651347
2014-07-01,0.15327014973258682,0.09913142419383011,0.08626756565870666,0.10604189248366407,0.1305517852881206,0.12019688323539844,0.03547792203520364,0.0,0.048861440084775595,0.04147116298360172,0.03267974627044368,0.14605002803366873
2015-01-02,0.13621853293400854,0.04891207522313503,0.1018783564313665,0.06149519393053166,0.14215304994116595,0.07132181096771348,0.041171748697412545,0.03833463978406448,0.08725646790421565,0.04083934113103849,0.09086534412794035,0.13955343892740735
2015-07-01,0.09183542334556997,0.05042911690509955,0.22936698180539994,0.11715699475399714,0.0,0.0,0.0,0.14427065595735844,0.18212531735279824,0.09706857846104272,0.0,0.08774693141873402
2016-01-04,0.15003977915810193,0.07969731506909648,0.14626770212204138,0.12965407528539474,0.0,0.1085579978066173,0.10268193740995886,0.08088061494028918,0.04019027537050611,0.09654422504666475,0.0,0.06548607779132931
2016-07-01,0.06763546439136987,0.14218296796457422,0.13056121938236206,0.03926275068869018,0.07462112680412152,0.02663119148391996,0.13604316210401654,0.1297660380335099,0.044488422763098785,0.09524661199108177,0.09077767477559766,0.02278336961765759
2017-01-03,0.12963403695419803,0.0916995288669429,0.13237385450063502,0.09016513278679887,0.0,0.05510959093107843,0.0,0.1579555389157387,0.14939101763668924,0.14139099401098854,0.0522803053969302,0.0
2017-07-03,0.14327007098514044,0.1545193974760346,0.0,0.07930196690399934,0.0,0.12411199866908426,0.12496577844837271,0.020950402193145524,0.07755466467555931,0.08971473653513037,0.04325087342752316,0.1423601106860103
2018-01-02,0.07889307847670113,0.03948927963120908,0.1005504933782504,0.1360939392221798,0.03750414491818217,0.05811877285310893,0.1855432681215336,0.12116824262389328,0.08168273514898552,0.09650080402877532,0.02256094907517157,0.04189429252200916
2018-07-02,0.06887323678340075,0.11984754809012495,0.04687791565189819,0.044861673378818696,0.0,0.1285653937266044,0.046638967916537696,0.18444800348203866,0.17512097261120912,0.0,0.04848521017674551,0.13628107818262203
2019-01-02,0.03945459876997703,0.024367012223689817,0.1722875702767927,0.10516529070823187,0.08704874723547797,0.14449825383643958,0.14871146767863977,0.035066554926687116,0.0,0.07938389140462195,0.07800771876652017,0.08600889417292201
